environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.10985312473301036,0.6977237913087923,0.0,3,2
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.0,nan,1.0,9,0
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0,0.8728815651574486,1.0,2,2
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0,0.5915498942207866,1.0,3,3
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.04667333317829818,0.9759580478347364,0.0,6,4
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0,0.7533667454612822,1.0,6,6
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0,0.4167019799010358,1.0,6,6
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.0,nan,1.0,4,0
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.5789271149086822,0.5754669978947097,0.0,4,2
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0,0.7513638268287729,1.0,3,3
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.0,nan,1.0,5,0
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.44201480759003287,0.7889615842867953,0.0,5,2
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,1.0,0.42167637713172834,0.0,7,2
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.0,0.883968134000689,1.0,7,7
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0,0.9761165122569129,1.0,7,7
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.05206520357815755,0.7588362377497374,0.0,7,5
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.071849549171498,0.9832668073084491,0.0,6,8
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.06837919317243876,0.8052101366498173,0.0,6,8
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,1.0,0.1598567604023869,0.0,3,8
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.0,nan,1.0,4,0
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.7585503102919223,0.5058892291896907,0.0,4,2
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0,0.6598881474111782,1.0,3,3
PushT,jepa_wm_pusht,22,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,1.0,0.1111111111111111,0.0,5,6
