model,ridge,held_out_group,mse
countsketch_2304_15173,1000.0,6,0.6043945555393652
countsketch_2304_15173,1000.0,mean,1.081514342214121
countsketch_2304_15173,10000.0,0,1.0180744812895812
countsketch_2304_15173,10000.0,2,1.308400741166069
countsketch_2304_15173,10000.0,4,1.791896282067242
countsketch_2304_15173,10000.0,6,0.7094896962960051
countsketch_2304_15173,10000.0,mean,1.2069653002047245
countsketch_2304_15173,100000.0,0,1.2442355536855856
countsketch_2304_15173,100000.0,2,1.3596780535990007
countsketch_2304_15173,100000.0,4,1.9850479595432704
countsketch_2304_15173,100000.0,6,0.8701485231176883
countsketch_2304_15173,100000.0,mean,1.3647775224863863
countsketch_2304_15173,1000000.0,0,1.4251344879495065
countsketch_2304_15173,1000000.0,2,1.570728478074418
countsketch_2304_15173,1000000.0,4,2.161223278135039
countsketch_2304_15173,1000000.0,6,1.233533256481037
countsketch_2304_15173,1000000.0,mean,1.5976548751600002
countsketch_2304_15187,0.0001,0,0.7244148506530879
countsketch_2304_15187,0.0001,2,1.1190843008543383
countsketch_2304_15187,0.0001,4,1.5182236492498877
countsketch_2304_15187,0.0001,6,0.6898375647902953
countsketch_2304_15187,0.0001,mean,1.0128900913869023
countsketch_2304_15187,0.001,0,0.7244037690518798
countsketch_2304_15187,0.001,2,1.1190797733335702
countsketch_2304_15187,0.001,4,1.5182262217933489
countsketch_2304_15187,0.001,6,0.6898261947614273
countsketch_2304_15187,0.001,mean,1.0128839897350566
countsketch_2304_15187,0.01,0,0.7242929585452073
countsketch_2304_15187,0.01,2,1.1190351274468424
countsketch_2304_15187,0.01,4,1.5182518415417923
countsketch_2304_15187,0.01,6,0.6897126327758755
countsketch_2304_15187,0.01,mean,1.0128231400774292
countsketch_2304_15187,0.1,0,0.7231863386580916
countsketch_2304_15187,0.1,2,1.118646391739783
countsketch_2304_15187,0.1,4,1.518498205435098
countsketch_2304_15187,0.1,6,0.6885919619341725
countsketch_2304_15187,0.1,mean,1.0122307244417863
countsketch_2304_15187,1.0,0,0.7127035903981661
countsketch_2304_15187,1.0,2,1.1177534376159233
countsketch_2304_15187,1.0,4,1.5203764886328646
countsketch_2304_15187,1.0,6,0.6790321886122636
countsketch_2304_15187,1.0,mean,1.0074664263148043
countsketch_2304_15187,10.0,0,0.6583379777522299
countsketch_2304_15187,10.0,2,1.1319302455793974
countsketch_2304_15187,10.0,4,1.527802928960169
countsketch_2304_15187,10.0,6,0.6415081678621715
countsketch_2304_15187,10.0,mean,0.9898948300384918
countsketch_2304_15187,100.0,0,0.6057475392047533
countsketch_2304_15187,100.0,2,1.159084882563032
countsketch_2304_15187,100.0,4,1.538109913189694
countsketch_2304_15187,100.0,6,0.6065403485073726
countsketch_2304_15187,100.0,mean,0.977370670866213
countsketch_2304_15187,1000.0,0,0.6711321312795359
countsketch_2304_15187,1000.0,2,1.195850084815666
countsketch_2304_15187,1000.0,4,1.5635667251127794
countsketch_2304_15187,1000.0,6,0.645569567274073
countsketch_2304_15187,1000.0,mean,1.0190296271205135
countsketch_2304_15187,10000.0,0,0.8783868624892645
countsketch_2304_15187,10000.0,2,1.283686150839935
countsketch_2304_15187,10000.0,4,1.696598077478498
countsketch_2304_15187,10000.0,6,0.7465876628525496
countsketch_2304_15187,10000.0,mean,1.1513146884150618
countsketch_2304_15187,100000.0,0,1.142392894299816
countsketch_2304_15187,100000.0,2,1.3420588879692745
countsketch_2304_15187,100000.0,4,1.9449889071957631
countsketch_2304_15187,100000.0,6,0.8867732602817106
countsketch_2304_15187,100000.0,mean,1.329053487436641
countsketch_2304_15187,1000000.0,0,1.4010838697305983
countsketch_2304_15187,1000000.0,2,1.5717963893034435
countsketch_2304_15187,1000000.0,4,2.1529766203001484
countsketch_2304_15187,1000000.0,6,1.2434317262385524
countsketch_2304_15187,1000000.0,mean,1.5923221513931856
channel_mean,0.0001,0,0.8974690057453014
channel_mean,0.0001,2,3.4451180475959364
channel_mean,0.0001,4,1.4024145931113352
channel_mean,0.0001,6,2.092290632740117
channel_mean,0.0001,mean,1.9593230697981725
channel_mean,0.001,0,0.8463858927260793
channel_mean,0.001,2,2.824527773011059
channel_mean,0.001,4,1.3448507851889466
channel_mean,0.001,6,1.7658568051609487
channel_mean,0.001,mean,1.6954053140217584
channel_mean,0.01,0,0.7626992286709613
channel_mean,0.01,2,2.0843347265402383
channel_mean,0.01,4,1.3265786628640939
channel_mean,0.01,6,1.2637371150690135
channel_mean,0.01,mean,1.3593374332860768
channel_mean,0.1,0,0.6998530051014192
channel_mean,0.1,2,1.7788059712730324
channel_mean,0.1,4,1.3625496296065602
channel_mean,0.1,6,0.9908304924065109
channel_mean,0.1,mean,1.2080097745968807
channel_mean,1.0,0,0.6531408719553112
channel_mean,1.0,2,1.7787810780362971
channel_mean,1.0,4,1.3083437125817683
channel_mean,1.0,6,0.7895032652552327
channel_mean,1.0,mean,1.1324422319571523
channel_mean,10.0,0,0.7278058886077384
channel_mean,10.0,2,1.6629865744355135
channel_mean,10.0,4,1.30721084441031
channel_mean,10.0,6,0.7714284199272367
channel_mean,10.0,mean,1.1173579318451996
channel_mean,100.0,0,1.0355124196951249
channel_mean,100.0,2,1.6132240083397857
channel_mean,100.0,4,1.6002794353713492
channel_mean,100.0,6,0.9788151571699645
channel_mean,100.0,mean,1.306957755144056
channel_mean,1000.0,0,1.547824295296914
channel_mean,1000.0,2,1.5567900650270696
channel_mean,1000.0,4,2.1837486205897743
channel_mean,1000.0,6,0.9960971153621985
channel_mean,1000.0,mean,1.5711150240689893
channel_mean,10000.0,0,1.7571868474744974
channel_mean,10000.0,2,1.484550134705172
channel_mean,10000.0,4,2.4125565270261213
channel_mean,10000.0,6,0.8107191299010017
channel_mean,10000.0,mean,1.6162531597766983
channel_mean,100000.0,0,1.5464588081862898
channel_mean,100000.0,2,1.489163095518771
channel_mean,100000.0,4,2.2622322961061285
channel_mean,100000.0,6,0.9793580464519234
channel_mean,100000.0,mean,1.5693030615657781
channel_mean,1000000.0,0,1.5016824881283
channel_mean,1000000.0,2,1.6673036483685635
channel_mean,1000000.0,4,2.2324039326551954
channel_mean,1000000.0,6,1.3491685930980835
channel_mean,1000000.0,mean,1.6876396655625356
